PhraseId,Sentiment
156061,1
156062,1
156063,2
156064,2
156065,3
156066,2
156067,1
156068,3
156069,1
156070,1
156071,3
156072,2
156073,2
156074,3
156075,1
156076,4
156077,2
156078,3
156079,1
156080,1
156081,2
156082,3
156083,2
156084,1
156085,2
156086,4
156087,3
156088,2
156089,1
156090,2
156091,2
156092,2
156093,4
156094,3
156095,2
156096,1
156097,3
156098,1
156099,3
156100,3
156101,2
156102,4
156103,3
156104,2
156105,3
156106,1
156107,2
156108,2
156109,1
156110,4
156111,2
156112,3
156113,1
156114,1
156115,2
156116,1
156117,3
156118,3
156119,2
156120,2
156121,4
156122,1
156123,2
156124,3
156125,2
156126,3
156127,3
156128,2
156129,2
156130,2
156131,2
156132,2
156133,3
156134,2
156135,3
156136,2
156137,3
156138,4
156139,2
156140,2
156141,1
156142,2
156143,3
156144,2
156145,1
156146,3
156147,2
156148,1
156149,3
156150,3
156151,1
156152,3
156153,2
156154,1
156155,2
156156,3
156157,3
156158,2
156159,2
156160,2
156161,2
156162,2
156163,3
156164,1
156165,3
156166,2
156167,3
156168,3
156169,2
156170,3
156171,2
156172,2
156173,3
156174,2
156175,1
156176,3
156177,2
156178,1
156179,0
156180,2
156181,2
156182,1
156183,1
156184,4
156185,2
156186,2
156187,2
156188,1
156189,3
156190,2
156191,2
156192,2
156193,1
156194,2
156195,2
156196,3
156197,2
156198,2
156199,1
156200,4
156201,1
156202,2
156203,2
156204,2
156205,2
156206,2
156207,3
156208,2
156209,2
156210,4
156211,2
156212,3
156213,2
156214,2
156215,2
156216,1
156217,1
156218,3
156219,3
156220,1
156221,2
156222,1
156223,2
156224,3
156225,3
156226,1
156227,3
156228,2
156229,3
156230,2
156231,0
156232,3
156233,1
156234,2
156235,2
156236,3
156237,1
156238,3
156239,2
156240,2
156241,2
156242,1
156243,2
156244,1
156245,2
156246,1
156247,3
156248,2
156249,2
156250,3
156251,2
156252,0
156253,2
156254,3
156255,3
156256,1
156257,3
156258,2
156259,1
156260,3
156261,3
156262,1
156263,3
156264,3
156265,3
156266,1
156267,2
156268,3
156269,1
156270,3
156271,2
156272,3
156273,3
156274,2
156275,1
156276,3
156277,3
156278,1
156279,2
156280,1
156281,1
156282,3
156283,0
156284,1
156285,1
156286,2
156287,2
156288,2
156289,2
156290,3
156291,2
156292,3
156293,2
156294,3
156295,2
156296,1
156297,2
156298,3
156299,3
156300,2
156301,1
156302,2
156303,2
156304,3
156305,1
156306,2
156307,1
156308,2
156309,2
156310,1
156311,3
156312,2
156313,3
156314,3
156315,2
156316,1
156317,3
156318,3
156319,2
156320,1
156321,2
156322,3
156323,3
156324,1
156325,3
156326,2
156327,1
156328,3
156329,1
156330,3
156331,1
156332,2
156333,2
156334,2
156335,2
156336,2
156337,2
156338,3
156339,2
156340,0
156341,2
156342,2
156343,3
156344,3
156345,1
156346,3
156347,3
156348,2
156349,2
156350,1
156351,1
156352,2
156353,2
156354,1
156355,3
156356,2
156357,0
156358,1
156359,3
156360,4
156361,2
156362,2
156363,4
156364,1
156365,3
156366,1
156367,2
156368,3
156369,2
156370,1
156371,4
156372,3
156373,2
156374,2
156375,1
156376,1
156377,2
156378,2
156379,3
156380,1
156381,3
156382,2
156383,3
156384,2
156385,2
156386,3
156387,2
156388,2
156389,3
156390,4
156391,4
156392,2
156393,4
156394,1
156395,1
156396,2
156397,1
156398,1
